nac_id,x,y
M104662862RC,865.95839,20302.88601
M107035386RC,4669.75594,19351.71818
M114104917RC,3519.61678,1773.08811
M120005333RC,2716.24196,49435.83357
M120012135RC,2824.84959,2016.64959
M137699517LC,2789.69752,2937.4314
M142415059RC,1206.84298,2674.42314
M144775952LC,3236.55868,8767.61653
M157750563LC,2953.5719,28074.19339
M162466771LC,3551.15702,28074.95207
M165998991RC,2297.82149,27237.3719
M175428601RC,2665.52727,27449.29587
M177785917RC,231.18347,44942.38017
M181323309LC,4844.19669,16682.90083
M183682182RC,2034.05455,14376.52066
M193110647RC,4572.59008,8528.88595
M193117792LC,1347.70413,8124.25785
M1108432631RC,1566.20331,37605.96694
M1114319742RC,4077.67934,21476.22645
M1114326845RC,4190.46942,21623.66281
M1116670947RC,1644.85289,20877.62975
M1116678050RC,2159.74215,20985.36198
M1116685153RC,1962.99174,21269.36033
M1116692256RC,2336.00826,21302.99504
M1121393925LC,4421.86612,24712.23967
M1129638931LC,869.4843,26869.41322
M1142596053RC,3871.06612,17985.55041
M1144949594LC,879.6,26397.5157
M1152015298RC,1684.30413,23092.20992
M1154371500RC,224.10248,25464.34215
M1180271572RC,1028.80661,23428.30413
M1197928318RC,4394.33058,13735.63636
M1213220870RC,1138.30909,24815.41983
M1213227903RC,1073.06281,24954.25785
M1252047189LC,1741.96364,43730.01322
M1274384665LC,4387.21983,24308.62314
M1274391694LC,4920.57025,24315.45124
M1280264872LC,4863.92231,23813.96529
M1287319512LC,3907.22975,28016.78678
M1297898206LC,4722.30248,14592.23802
