nac_id,x,y
M1297996182LC,2737.59261566,23575.5531139
M1249810950RC,1338.5591637,25481.7552491
M1315583193RC,3316.90676157,25211.1857651
M1315583193RC,2622.50676157,25717.7765126
M1315583193RC,1850.26476868,21268.4270463
M1315583193RC,1826.17081851,17721.6740214
M1315583193RC,1554.34163701,17245.9729537
M1315583193RC,1790.95658363,3370.32882562
M1315583193RC,694.990747331,3109.61992883
M1315583193RC,2759.03914591,684.780071175
M1315583193RC,3562.17081851,576.048398577
M1315583193RC,4249.15729537,737.910320285
