nac_id,x,y
M162107606LC,2504.81209964,51119.5323843
M162107606LC,1551.4569395,50895.6768683
M162107606LC,1819.90569395,36058.5790036
M162107606LC,3294.15053381,35107.7647687
M162107606LC,892.976156584,32520.0864769
M162107606LC,2000.81957295,32224.8309609
M162107606LC,3265.18398577,31378.1946619
M162107606LC,731.881494662,31276.0494662
M162107606LC,643.457295374,30917.2708185
M162107606LC,2672.13202847,30674.358363
M162107606LC,1990.65587189,30562.5576512
M1399715692RC,4060.54092527,23003.4676157
M1399715692RC,2486.40284698,15437.9672598
M1399715692RC,2953.77366548,13746.2092527
M1399715692RC,3177.09608541,13625.9985765
M1399715692RC,2741.85053381,13441.5373665
M1399715692RC,3106.10960854,13478.8441281
M1399715692RC,2906.62206406,13244.6405694
M1399715692RC,4425.83629893,12821.830605
M1399715692RC,4331.53309609,12970.0213523
M1399715692RC,4090.59359431,12625.9701068
M1399715692RC,4001.47188612,12532.1850534
M1399715692RC,3786.43985765,12458.6078292
M1399715692RC,3536.17366548,12421.8192171
M1399715692RC,3404.56370107,12528.0398577
M1399715692RC,3154.81565836,12549.2839858
M1399715692RC,3475.55017794,12195.9060498
M1399715692RC,3681.77366548,12148.7544484
M1399715692RC,3627.36797153,11930.0953737
M1399715692RC,3393.68256228,11716.0996441
M1399715692RC,4113.39217082,10861.1530249
