nac_id,x,y
M104662862RC,974.68112,20399.0014
M107035386RC,4770.36503,19442.34126
M114104917RC,3247.4979,1960.32587
M120005333RC,2963.3958,49242.1049
M120012135RC,3046.38347,1820.91074
M137699517LC,3061.30413,3125.58347
M142415059RC,937.76529,2864.09256
M144775952LC,2964.95207,8955.7686
M157750563LC,2688.5405,27886.04132
M162466771LC,3296.24132,27887.30579
M165998991RC,2576.50909,27429.06446
M175428601RC,2179.97355,27638.4595
M177785917LC,4809.29752,45232.19504
M181323309LC,4955.72231,16592.61818
M183682182RC,2143.80992,14284.97355
M193110647RC,4461.06446,8437.08595
M193117792LC,1245.78843,8033.46942
M1108432631RC,1445.82645,37709.90579
M1114319742RC,4192.99835,21347.75702
M1114326845RC,4306.29421,21493.67603
M1116670947RC,1749.04463,20748.14876
M1116678050RC,2279.10744,20855.88099
M1116685153RC,2073.50579,21139.12066
M1116692256RC,2421.23306,21173.00826
M1121393925LC,4298.70744,24586.04628
M1129638931LC,992.89587,27003.69917
M1142596053RC,3990.6843,17889.19835
M1144949594LC,998.96529,26302.4281
M1152015298RC,1573.0314,22964.24628
M1154371500RC,111.3124,25374.0595
M1180271572RC,908.68264,23333.21653
M1197928318RC,4248.93223,13865.50413
M1213220870RC,1011.10413,24710.72231
M1213227903RC,938.52397,24850.06612
M1252047189LC,1897.23967,43871.63306
M1274384665LC,4240.79504,24200.13223
M1274391694LC,4792.35372,24206.70744
M1280264872LC,5007.0595,23943.95207
M1287319512LC,3757.51736,28153.34876
M1297898206LC,4850.7719,14496.13884
